r     y     u
0.800 0.000 0.038
0.800 0.000 0.076
0.800 0.000 0.114
0.800 0.000 0.152
0.800 0.000 0.190
0.800 0.000 0.228
0.800 0.000 0.266
0.800 0.000 0.304
0.800 0.000 0.342
0.800 0.000 0.380
0.800 0.000 0.418
0.800 0.000 0.456
0.800 0.000 0.494
0.800 0.000 0.532
0.800 0.000 0.570
0.800 0.000 0.609
0.800 0.000 0.647
0.800 0.000 0.685
0.800 0.000 0.723
0.800 0.000 0.761
0.800 0.000 0.799
0.800 0.000 0.837
0.800 0.001 0.847
0.800 0.001 0.912
0.800 0.001 0.950
0.800 0.001 0.988
0.800 0.001 1.026
0.800 0.001 1.064
0.800 0.002 1.074
0.800 0.002 1.139
0.800 0.005 1.122
0.800 0.006 1.185
0.800 0.007 1.222
0.800 0.010 1.204
0.800 0.012 1.294
0.800 0.015 1.276
0.800 0.020 1.283
0.800 0.024 1.316
0.800 0.030 1.322
0.800 0.038 1.300
0.800 0.046 1.330
0.800 0.056 1.305
0.800 0.067 1.332
0.800 0.079 1.304
0.800 0.094 1.274
0.800 0.110 1.269
0.800 0.129 1.234
0.800 0.147 1.252
0.800 0.168 1.215
0.800 0.190 1.201
0.800 0.212 1.214
0.800 0.236 1.171
0.800 0.259 1.207
0.800 0.285 1.133
0.800 0.309 1.192
0.800 0.336 1.142
0.800 0.360 1.199
0.800 0.387 1.147
0.800 0.411 1.202
0.800 0.435 1.202
0.800 0.458 1.229
0.800 0.480 1.255
0.800 0.499 1.309
0.800 0.520 1.281
0.800 0.536 1.389
0.800 0.552 1.390
0.800 0.566 1.444
0.800 0.578 1.500
0.800 0.589 1.502
0.800 0.598 1.558
0.800 0.605 1.616
0.800 0.612 1.620
0.800 0.618 1.651
0.800 0.624 1.656
0.800 0.628 1.687
0.800 0.633 1.692
0.800 0.637 1.696
0.800 0.641 1.728
0.800 0.645 1.706
0.800 0.650 1.710
0.800 0.655 1.713
0.800 0.660 1.689
0.800 0.667 1.664
0.800 0.673 1.693
0.800 0.681 1.639
0.800 0.688 1.666
0.800 0.697 1.611
0.800 0.706 1.609
0.800 0.716 1.607
0.800 0.725 1.604
0.00 0.736 1.546
0.800 0.747 1.568
0.800 0.756 1.590
0.800 0.766 1.557
0.800 0.775 1.579
0.800 0.785 1.573
0.800 0.796 1.512
0.800 0.803 1.613
0.800 0.812 1.553
0.800 0.820 1.573
0.800 0.828 1.566
0.800 0.834 1.614
0.800 0.839 1.635
0.800 0.843 1.630
0.800 0.847 1.652
0.800 0.849 1.675
0.800 0.851 1.671
0.800 0.853 1.694
0.800 0.853 1.718
0.00 0.853 1.716
0.800 0.853 1.713
0.800 0.851 1.738
0.800 0.851 1.709
0.800 0.849 1.762
0.800 0.848 1.733
0.800 0.847 1.732
0.800 0.844 1.758
0.800 0.843 1.730
0.800 0.842 1.729
0.800 0.840 1.755
0.800 0.840 1.700
0.800 0.839 1.726
0.800 0.839 1.697
0.800 0.839 1.696
0.800 0.839 1.694
0.800 0.839 1.692
0.800 0.840 1.663
0.800 0.840 1.687
0.800 0.842 1.630
0.800 0.842 1.682
0.800 0.843 1.652
0.800 0.843 1.677
0.800 0.844 1.647
0.800 0.844 1.672
0.800 0.844 1.670
0.800 0.847 1.612
0.800 0.844 1.719
0.800 0.844 1.663
0.800 0.844 1.661
0.800 0.843 1.686
0.800 0.843 1.658
0.800 0.842 1.683
0.800 0.842 1.654
0.800 0.840 1.708
0.800 0.839 1.680
0.800 0.838 1.679
0.800 0.835 1.705
0.800 0.834 1.678
0.800 0.833 1.677
0.800 0.831 1.704
0.800 0.830 1.677
0.800 0.830 1.649
0.800 0.828 1.675
0.800 0.828 1.647
0.800 0.828 1.646
0.800 0.826 1.699
0.800 0.826 1.645
0.800 0.826 1.643
0.800 0.826 1.642
0.800 0.826 1.641
0.800 0.826 1.640
0.800 0.826 1.638
0.800 0.826 1.637
0.800 0.826 1.636
0.800 0.828 1.580
0.800 0.828 1.632
0.800 0.826 1.685
0.800 0.826 1.631
0.800 0.826 1.630
0.800 0.826 1.628
0.800 0.826 1.627
0.800 0.825 1.653
0.800 0.825 1.626
0.800 0.824 1.652
0.800 0.824 1.624
0.800 0.821 1.678
0.800 0.821 1.624
0.800 0.820 1.650
0.800 0.819 1.650
0.800 0.817 1.678
0.800 0.816 1.651
0.800 0.816 1.624
0.800 0.815 1.650
0.800 0.812 1.678
0.800 0.812 1.624
0.800 0.811 1.651
0.800 0.811 1.624
0.800 0.810 1.651
0.800 0.808 1.679
0.800 0.806 1.653
0.800 0.806 1.626
0.800 0.805 1.653
0.800 0.805 1.626
0.800 0.805 1.626
0.800 0.803 1.681
0.800 0.803 1.627
0.800 0.803 1.627
0.800 0.803 1.627
0.800 0.803 1.627
0.800 0.803 1.627
0.800 0.803 1.626
0.800 0.803 1.626
0.800 0.803 1.626
0.800 0.803 1.626
0.800 0.805 1.571
0.800 0.805 1.624
0.800 0.805 1.624
0.800 0.805 1.623
0.800 0.805 1.623
0.800 0.805 1.623
0.800 0.805 1.623
0.800 0.805 1.622
0.800 0.805 1.622
0.800 0.805 1.622
0.800 0.805 1.622
0.800 0.805 1.621
0.800 0.805 1.621
0.800 0.805 1.621
0.800 0.803 1.676
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.802 1.649
0.800 0.802 1.622
0.800 0.801 1.650
0.800 0.801 1.623
0.800 0.798 1.678
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.801 1.570
0.800 0.801 1.623
0.800 0.801 1.623
0.800 0.802 1.596
0.800 0.802 1.622
0.800 0.803 1.595
0.800 0.803 1.621
0.800 0.805 1.566
0.800 0.805 1.619
0.800 0.805 1.619
0.800 0.806 1.591
0.800 0.806 1.617
0.800 0.806 1.617
0.800 0.806 1.617
0.800 0.806 1.616
0.800 0.805 1.644
0.800 0.805 1.617
0.800 0.805 1.616
0.800 0.805 1.616
0.800 0.803 1.671
0.800 0.803 1.618
0.800 0.802 1.645
0.800 0.802 1.618
0.800 0.801 1.646
0.800 0.798 1.674
0.800 0.798 1.621
0.800 0.797 1.648
0.00 0.797 1.622
0.800 0.797 1.622
0.800 0.797 1.622
0.800 0.796 1.650
0.800 0.796 1.623
0.800 0.796 1.623
0.800 0.796 1.624
0.800 0.797 1.596
0.800 0.797 1.623
0.800 0.797 1.623
0.800 0.797 1.623
0.800 0.798 1.596
0.800 0.798 1.623
0.800 0.798 1.623
0.800 0.801 1.568
0.800 0.802 1.593
0.800 0.802 1.620
0.800 0.802 1.620
0.800 0.802 1.620
0.800 0.802 1.620
0.800 0.802 1.620
0.800 0.802 1.620
0.800 0.802 1.620
0.800 0.801 1.647
0.800 0.801 1.620
0.800 0.801 1.620
0.800 0.798 1.675
0.800 0.798 1.622
0.800 0.797 1.650
0.800 0.797 1.623
0.800 0.796 1.651
0.800 0.796 1.624
0.800 0.794 1.679
0.800 0.794 1.626
0.800 0.794 1.627
0.800 0.794 1.627
0.800 0.794 1.627
0.800 0.796 1.573
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.797 1.599
0.800 0.797 1.626
0.800 0.797 1.626
0.800 0.798 1.599
0.800 0.798 1.625
0.800 0.801 1.570
0.800 0.802 1.596
0.800 0.802 1.623
0.800 0.803 1.595
0.800 0.803 1.622
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.802 1.648
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.801 1.649
0.800 0.798 1.677
0.800 0.798 1.624
0.800 0.797 1.651
0.800 0.797 1.625
0.800 0.796 1.653
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.627
0.800 0.796 1.627
0.800 0.796 1.627
0.800 0.797 1.600
0.800 0.797 1.626
0.800 0.798 1.599
0.800 0.798 1.626
0.800 0.801 1.571
0.800 0.801 1.624
0.800 0.802 1.597
0.800 0.802 1.623
0.800 0.803 1.595
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.803 1.622
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.802 1.648
0.800 0.802 1.621
0.800 0.801 1.649
0.800 0.801 1.622
0.800 0.798 1.677
0.800 0.798 1.624
0.800 0.797 1.651
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.796 1.653
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.627
0.800 0.796 1.627
0.800 0.797 1.599
0.00 0.797 1.626
0.800 0.797 1.626
0.800 0.798 1.599
0.800 0.798 1.626
0.800 0.798 1.626
0.800 0.801 1.571
0.800 0.801 1.624
0.800 0.801 1.624
0.800 0.801 1.624
0.800 0.802 1.596
0.800 0.802 1.623
0.800 0.802 1.623
0.800 0.802 1.623
0.800 0.802 1.623
0.800 0.802 1.623
0.800 0.802 1.623
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.801 1.650
0.800 0.801 1.623
0.800 0.801 1.623
0.800 0.802 1.595
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.801 1.649
0.800 0.801 1.623
0.00 0.801 1.623
0.800 0.801 1.622
0.800 0.801 1.622
0.800 0.798 1.677
0.800 0.798 1.624
0.800 0.798 1.624
0.800 0.798 1.624
0.800 0.798 1.624
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.801 1.570
0.800 0.801 1.623
0.800 0.801 1.623
0.800 0.801 1.623
0.800 0.802 1.595
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.801 1.648
0.00 0.801 1.622
0.800 0.801 1.622
0.800 0.801 1.622
0.800 0.798 1.677
0.800 0.798 1.623
0.800 0.798 1.624
0.800 0.797 1.651
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.625
0.800 0.797 1.626
0.800 0.797 1.626
0.800 0.798 1.598
0.800 0.798 1.625
0.800 0.801 1.570
0.800 0.801 1.623
0.800 0.802 1.596
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.803 1.595
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.621
0.800 0.803 1.620
0.800 0.803 1.620
0.800 0.803 1.620
0.800 0.803 1.620
0.800 0.802 1.647
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.801 1.648
0.800 0.801 1.621
0.800 0.798 1.676
0.800 0.798 1.623
0.800 0.797 1.651
0.800 0.797 1.624
0.800 0.797 1.624
0.800 0.796 1.652
0.800 0.796 1.625
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.796 1.626
0.800 0.797 1.599
0.800 0.797 1.626
0.800 0.798 1.598
0.800 0.798 1.625
0.800 0.798 1.625
0.800 0.801 1.570
0.800 0.801 1.624
0.800 0.802 1.596
0.800 0.802 1.623
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.622
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.802 1.621
0.800 0.801 1.649
1.000 0.801 1.631
1.000 0.801 1.641
1.000 0.798 1.705
1.000 0.798 1.662
1.000 0.798 1.671
1.000 0.798 1.681
1.000 0.798 1.690
1.000 0.798 1.700
1.000 0.801 1.655
1.000 0.802 1.690
