r, y, u
0.800, 0.000, 0.030
0.800, 0.000, 0.060
0.800, 0.000, 0.090
0.800, 0.000, 0.120
0.800, 0.000, 0.151
0.800, 0.001, 0.165
0.800, 0.000, 0.226
0.800, 0.000, 0.241
0.800, 0.000, 0.271
0.800, 0.000, 0.301
0.800, 0.000, 0.331
0.800, 0.000, 0.361
0.800, 0.000, 0.391
0.800, 0.000, 0.422
0.800, 0.000, 0.452
0.800, 0.000, 0.482
0.800, 0.000, 0.512
0.800, 0.000, 0.542
0.800, 0.000, 0.572
0.800, 0.001, 0.586
0.800, 0.001, 0.632
0.800, 0.000, 0.678
0.800, 0.001, 0.677
0.800, 0.000, 0.738
0.800, 0.000, 0.753
0.800, 0.001, 0.767
0.800, 0.001, 0.812
0.800, 0.001, 0.842
0.800, 0.001, 0.872
0.800, 0.001, 0.903
0.800, 0.001, 0.933
0.800, 0.001, 0.963
0.800, 0.002, 0.977
0.800, 0.005, 0.991
0.800, 0.005, 1.051
0.800, 0.006, 1.065
0.800, 0.009, 1.063
0.800, 0.010, 1.123
0.800, 0.014, 1.121
0.800, 0.016, 1.165
0.800, 0.021, 1.162
0.800, 0.025, 1.190
0.800, 0.032, 1.185
0.800, 0.038, 1.227
0.800, 0.046, 1.222
0.800, 0.055, 1.231
0.800, 0.064, 1.256
0.800, 0.075, 1.264
0.800, 0.085, 1.287
0.800, 0.099, 1.263
0.800, 0.113, 1.284
0.800, 0.129, 1.273
0.800, 0.144, 1.307
0.800, 0.161, 1.295
0.800, 0.179, 1.296
0.800, 0.199, 1.297
0.800, 0.221, 1.280
0.800, 0.242, 1.309
0.800, 0.265, 1.290
0.800, 0.290, 1.270
0.800, 0.313, 1.311
0.800, 0.337, 1.304
0.800, 0.364, 1.281
0.800, 0.388, 1.318
0.800, 0.412, 1.325
0.800, 0.438, 1.298
0.800, 0.462, 1.333
0.800, 0.488, 1.320
0.800, 0.511, 1.354
0.800, 0.534, 1.356
0.800, 0.555, 1.389
0.800, 0.576, 1.374
0.800, 0.596, 1.405
0.800, 0.613, 1.437
0.800, 0.632, 1.422
0.800, 0.647, 1.468
0.800, 0.660, 1.484
0.800, 0.673, 1.500
0.800, 0.686, 1.500
0.800, 0.695, 1.546
0.800, 0.704, 1.547
0.800, 0.711, 1.579
0.800, 0.718, 1.579
0.800, 0.724, 1.595
0.800, 0.728, 1.612
0.800, 0.732, 1.629
0.800, 0.734, 1.646
0.800, 0.737, 1.631
0.800, 0.739, 1.664
0.800, 0.741, 1.650
0.800, 0.742, 1.667
0.800, 0.743, 1.669
0.800, 0.746, 1.655
0.800, 0.747, 1.672
0.800, 0.747, 1.689
0.800, 0.748, 1.675
0.800, 0.750, 1.661
0.800, 0.751, 1.678
0.800, 0.752, 1.679
0.800, 0.756, 1.649
0.800, 0.757, 1.681
0.800, 0.760, 1.650
0.800, 0.764, 1.651
0.800, 0.766, 1.666
0.800, 0.771, 1.635
0.800, 0.775, 1.634
0.800, 0.779, 1.649
0.800, 0.783, 1.633
0.800, 0.788, 1.632
0.800, 0.793, 1.631
0.800, 0.798, 1.613
0.800, 0.802, 1.643
0.800, 0.808, 1.610
0.800, 0.812, 1.623
0.800, 0.817, 1.621
0.800, 0.821, 1.618
0.800, 0.825, 1.631
0.800, 0.830, 1.613
0.800, 0.834, 1.610
0.800, 0.835, 1.655
0.800, 0.839, 1.621
0.800, 0.842, 1.619
0.800, 0.843, 1.647
0.800, 0.847, 1.614
0.800, 0.848, 1.642
0.800, 0.849, 1.640
0.800, 0.851, 1.622
0.800, 0.851, 1.651
0.800, 0.851, 1.649
0.800, 0.853, 1.631
0.800, 0.851, 1.660
0.800, 0.851, 1.643
0.800, 0.849, 1.672
0.800, 0.848, 1.656
0.800, 0.848, 1.639
0.800, 0.847, 1.653
0.800, 0.844, 1.667
0.800, 0.843, 1.650
0.800, 0.842, 1.649
0.800, 0.840, 1.664
0.800, 0.839, 1.648
0.800, 0.838, 1.647
0.800, 0.835, 1.661
0.800, 0.834, 1.645
0.800, 0.833, 1.644
0.800, 0.831, 1.659
0.800, 0.830, 1.643
0.800, 0.828, 1.643
0.800, 0.825, 1.674
0.800, 0.824, 1.642
0.800, 0.824, 1.626
0.800, 0.821, 1.657
0.800, 0.820, 1.641
0.800, 0.819, 1.641
0.800, 0.817, 1.656
0.800, 0.816, 1.641
0.800, 0.815, 1.641
0.800, 0.815, 1.625
0.800, 0.812, 1.656
0.800, 0.812, 1.625
0.800, 0.812, 1.624
0.800, 0.812, 1.624
0.800, 0.812, 1.623
0.800, 0.812, 1.623
0.800, 0.812, 1.622
0.800, 0.812, 1.622
0.800, 0.815, 1.590
0.800, 0.815, 1.620
0.800, 0.816, 1.604
0.800, 0.816, 1.618
0.800, 0.817, 1.602
0.800, 0.817, 1.617
0.800, 0.817, 1.616
0.800, 0.819, 1.584
0.800, 0.817, 1.645
0.800, 0.817, 1.614
0.800, 0.817, 1.613
0.800, 0.816, 1.629
0.800, 0.815, 1.628
0.800, 0.815, 1.613
0.800, 0.812, 1.644
0.800, 0.811, 1.628
0.800, 0.810, 1.628
0.800, 0.810, 1.613
0.800, 0.808, 1.644
0.800, 0.806, 1.629
0.800, 0.805, 1.629
0.800, 0.803, 1.645
0.800, 0.802, 1.630
0.800, 0.801, 1.630
0.800, 0.798, 1.646
0.800, 0.798, 1.616
0.800, 0.797, 1.632
0.800, 0.797, 1.616
0.800, 0.797, 1.616
0.800, 0.796, 1.632
0.800, 0.796, 1.617
0.800, 0.796, 1.617
0.800, 0.794, 1.649
0.800, 0.794, 1.619
0.800, 0.794, 1.619
0.800, 0.794, 1.619
0.800, 0.794, 1.619
0.800, 0.796, 1.588
0.800, 0.796, 1.619
0.800, 0.796, 1.619
0.800, 0.796, 1.619
0.800, 0.796, 1.619
0.800, 0.797, 1.604
0.800, 0.797, 1.619
0.800, 0.797, 1.619
0.800, 0.798, 1.603
0.800, 0.798, 1.619
0.800, 0.801, 1.587
0.800, 0.802, 1.602
0.800, 0.802, 1.617
0.800, 0.803, 1.602
0.800, 0.803, 1.617
0.800, 0.805, 1.585
0.800, 0.806, 1.600
0.800, 0.806, 1.615
0.800, 0.808, 1.599
0.800, 0.808, 1.614
0.800, 0.810, 1.582
0.800, 0.810, 1.612
0.800, 0.810, 1.612
0.800, 0.811, 1.596
0.800, 0.811, 1.611
0.800, 0.811, 1.610
0.800, 0.811, 1.610
0.800, 0.811, 1.610
0.800, 0.811, 1.609
0.800, 0.811, 1.609
0.800, 0.811, 1.608
0.800, 0.810, 1.624
0.800, 0.810, 1.608
0.800, 0.810, 1.608
0.800, 0.810, 1.607
0.800, 0.808, 1.638
0.800, 0.808, 1.607
0.800, 0.806, 1.623
0.800, 0.806, 1.607
0.800, 0.806, 1.607
0.800, 0.806, 1.607
0.800, 0.806, 1.607
0.800, 0.808, 1.591
0.800, 0.808, 1.606
0.800, 0.808, 1.605
0.800, 0.810, 1.573
0.800, 0.810, 1.604
0.800, 0.811, 1.588
0.800, 0.812, 1.587
0.800, 0.812, 1.602
0.800, 0.815, 1.569
0.800, 0.815, 1.600
0.800, 0.816, 1.583
0.800, 0.816, 1.598
0.800, 0.816, 1.598
0.800, 0.816, 1.597
0.800, 0.816, 1.596
0.800, 0.816, 1.596
0.800, 0.816, 1.595
0.800, 0.815, 1.610
0.800, 0.815, 1.594
0.800, 0.812, 1.626
0.800, 0.812, 1.594
0.800, 0.811, 1.610
0.800, 0.810, 1.610
0.800, 0.810, 1.594
0.800, 0.808, 1.625
0.800, 0.806, 1.610
0.800, 0.805, 1.610
0.800, 0.803, 1.626
0.800, 0.802, 1.611
0.800, 0.801, 1.612
0.800, 0.798, 1.628
0.800, 0.798, 1.597
0.800, 0.797, 1.613
0.800, 0.797, 1.598
0.800, 0.797, 1.598
0.800, 0.797, 1.598
0.800, 0.797, 1.598
0.800, 0.797, 1.598
0.800, 0.797, 1.598
0.800, 0.797, 1.598
0.800, 0.797, 1.599
0.800, 0.798, 1.583
0.800, 0.798, 1.598
0.800, 0.798, 1.598
0.800, 0.798, 1.598
0.800, 0.801, 1.567
0.800, 0.801, 1.598
0.800, 0.802, 1.582
0.800, 0.802, 1.597
0.800, 0.802, 1.597
0.800, 0.803, 1.581
0.800, 0.803, 1.596
0.800, 0.803, 1.596
0.800, 0.803, 1.596
0.800, 0.803, 1.596
0.800, 0.805, 1.564
0.800, 0.805, 1.595
0.800, 0.805, 1.595
0.800, 0.805, 1.594
0.800, 0.803, 1.626
0.800, 0.803, 1.595
0.800, 0.803, 1.595
0.800, 0.802, 1.610
0.800, 0.802, 1.595
0.800, 0.802, 1.595
0.800, 0.801, 1.611
0.800, 0.801, 1.595
0.800, 0.798, 1.627
0.800, 0.798, 1.596
0.800, 0.798, 1.596
0.800, 0.797, 1.612
0.800, 0.797, 1.597
0.800, 0.796, 1.613
0.800, 0.796, 1.598
0.800, 0.796, 1.598
0.800, 0.796, 1.598
0.800, 0.796, 1.598
0.800, 0.796, 1.598
0.800, 0.796, 1.598
0.800, 0.797, 1.583
0.800, 0.797, 1.598
0.800, 0.798, 1.582
0.800, 0.801, 1.566
0.800, 0.801, 1.597
0.800, 0.802, 1.581
0.800, 0.802, 1.596
0.800, 0.803, 1.580
0.800, 0.803, 1.596
0.800, 0.803, 1.596
0.800, 0.805, 1.564
0.800, 0.805, 1.594
0.800, 0.805, 1.594
0.800, 0.805, 1.594
0.800, 0.805, 1.594
0.800, 0.803, 1.625
0.800, 0.803, 1.594
0.800, 0.803, 1.594
0.800, 0.803, 1.594
0.800, 0.802, 1.610
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.801, 1.610
0.800, 0.801, 1.595
0.800, 0.801, 1.595
0.800, 0.798, 1.626
0.800, 0.801, 1.564
0.800, 0.798, 1.626
0.800, 0.798, 1.596
0.800, 0.801, 1.564
0.800, 0.798, 1.626
0.800, 0.801, 1.564
0.800, 0.801, 1.595
0.800, 0.801, 1.595
0.800, 0.802, 1.579
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.594
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.802, 1.593
0.800, 0.801, 1.609
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.801, 1.593
0.800, 0.802, 1.577
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.592
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.802, 1.591
0.800, 0.803, 1.575
0.800, 0.802, 1.606
0.800, 0.803, 1.575
0.800, 0.803, 1.590
0.800, 0.803, 1.590
0.800, 0.803, 1.590
0.800, 0.803, 1.590
0.800, 0.803, 1.590
0.800, 0.803, 1.589
0.800, 0.802, 1.605
0.800, 0.802, 1.590
0.800, 0.802, 1.590
0.800, 0.803, 1.574
0.800, 0.802, 1.605
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.802, 1.589
0.800, 0.801, 1.604
0.800, 0.801, 1.589
0.800, 0.801, 1.589
