r     y     u
0.800 0.000 0.038
0.800 0.000 0.076
0.800 0.000 0.114
0.800 0.000 0.152
0.800 0.000 0.190
0.800 0.000 0.228
0.800 0.000 0.266
0.800 0.000 0.304
0.800 0.000 0.342
0.800 0.000 0.380
0.800 0.000 0.418
0.800 0.000 0.456
0.800 0.000 0.494
0.800 0.000 0.532
0.800 0.000 0.570
0.800 0.000 0.609
0.800 0.000 0.647
0.800 0.000 0.685
0.800 0.000 0.723
0.800 0.000 0.761
0.800 0.000 0.799
0.800 0.000 0.837
0.800 0.000 0.875
0.800 0.001 0.885
0.800 0.001 0.950
0.800 0.001 0.988
0.800 0.001 1.026
0.800 0.002 1.036
0.800 0.002 1.101
0.800 0.005 1.084
0.800 0.005 1.175
0.800 0.006 1.185
0.800 0.009 1.167
0.800 0.010 1.257
0.800 0.014 1.239
0.800 0.018 1.246
0.800 0.023 1.280
0.800 0.029 1.286
0.800 0.035 1.318
0.800 0.043 1.295
0.800 0.052 1.298
0.800 0.064 1.244
0.800 0.076 1.297
0.800 0.090 1.267
0.800 0.107 1.208
0.800 0.124 1.228
0.800 0.144 1.192
0.800 0.166 1.154
0.800 0.185 1.222
0.800 0.209 1.127
0.800 0.232 1.164
0.800 0.259 1.091
0.800 0.283 1.152
0.800 0.309 1.104
0.800 0.334 1.162
0.800 0.359 1.139
0.800 0.383 1.168
0.800 0.407 1.170
0.800 0.430 1.198
0.800 0.453 1.198
0.800 0.475 1.225
0.800 0.495 1.279
0.800 0.513 1.306
0.800 0.532 1.306
0.800 0.549 1.332
0.800 0.564 1.386
0.800 0.578 1.414
0.800 0.590 1.441
0.800 0.601 1.497
0.800 0.612 1.471
0.800 0.621 1.526
0.800 0.628 1.583
0.800 0.635 1.586
0.800 0.641 1.616
0.800 0.645 1.647
0.800 0.651 1.623
0.800 0.655 1.681
0.800 0.660 1.630
0.800 0.664 1.688
0.800 0.670 1.636
0.800 0.674 1.666
0.800 0.679 1.668
0.800 0.683 1.671
0.800 0.691 1.590
0.800 0.697 1.644
0.800 0.704 1.617
0.800 0.711 1.617
0.800 0.719 1.588
0.800 0.728 1.559
0.800 0.736 1.583
0.800 0.746 1.552
0.800 0.755 1.548
0.800 0.762 1.598
0.800 0.771 1.540
0.800 0.780 1.534
0.800 0.789 1.528
0.800 0.798 1.522
0.800 0.806 1.542
0.800 0.815 1.536
0.800 0.824 1.502
0.800 0.830 1.576
0.800 0.835 1.570
0.800 0.842 1.537
0.800 0.847 1.585
0.800 0.849 1.634
0.800 0.854 1.575
0.800 0.856 1.624
0.800 0.857 1.647
0.800 0.858 1.643
0.800 0.861 1.612
0.800 0.861 1.663
0.800 0.861 1.660
0.800 0.861 1.657
0.800 0.858 1.709
0.800 0.858 1.653
0.800 0.857 1.678
0.800 0.857 1.648
0.800 0.857 1.646
0.800 0.856 1.671
0.800 0.854 1.696
0.800 0.854 1.640
0.800 0.854 1.638
0.800 0.854 1.635
0.800 0.854 1.633
0.800 0.854 1.630
0.800 0.854 1.628
0.800 0.856 1.570
0.800 0.856 1.621
0.800 0.856 1.618
0.800 0.857 1.588
0.800 0.857 1.612
0.800 0.857 1.609
0.800 0.858 1.579
0.800 0.858 1.603
0.800 0.858 1.600
0.800 0.858 1.597
0.800 0.857 1.622
0.800 0.857 1.593
0.800 0.857 1.590
0.800 0.856 1.615
0.800 0.856 1.585
0.800 0.854 1.638
0.800 0.853 1.609
0.800 0.849 1.663
0.800 0.848 1.608
0.800 0.847 1.607
0.800 0.844 1.633
0.800 0.843 1.605
0.800 0.842 1.604
0.800 0.839 1.658
0.800 0.838 1.603
0.800 0.835 1.630
0.800 0.834 1.602
0.800 0.833 1.602
0.800 0.830 1.656
0.800 0.828 1.602
0.800 0.826 1.629
0.800 0.825 1.602
0.800 0.824 1.602
0.800 0.821 1.629
0.800 0.820 1.602
0.800 0.819 1.602
0.800 0.819 1.575
0.800 0.817 1.629
0.800 0.816 1.602
0.800 0.816 1.575
0.800 0.816 1.574
0.800 0.815 1.601
0.800 0.815 1.573
0.800 0.815 1.573
0.800 0.815 1.572
0.800 0.815 1.571
0.800 0.815 1.571
0.800 0.815 1.570
0.800 0.815 1.569
0.800 0.812 1.624
0.800 0.812 1.570
0.800 0.812 1.569
0.800 0.811 1.596
0.800 0.811 1.569
0.800 0.811 1.568
0.800 0.811 1.568
0.800 0.810 1.595
0.800 0.808 1.623
0.800 0.808 1.569
0.800 0.808 1.569
0.800 0.806 1.596
0.800 0.806 1.569
0.800 0.805 1.596
0.800 0.805 1.569
0.800 0.803 1.624
0.800 0.803 1.571
0.800 0.803 1.570
0.800 0.803 1.570
0.800 0.803 1.570
0.800 0.802 1.598
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.801 1.598
0.800 0.801 1.571
0.800 0.801 1.571
0.800 0.801 1.571
0.800 0.801 1.571
0.800 0.798 1.626
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.798 1.574
0.800 0.798 1.574
0.800 0.798 1.574
0.800 0.801 1.519
0.800 0.801 1.572
0.800 0.801 1.572
0.800 0.801 1.572
0.800 0.802 1.544
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.570
0.800 0.802 1.570
0.800 0.801 1.598
0.800 0.801 1.571
0.800 0.801 1.571
0.800 0.798 1.626
0.800 0.798 1.573
0.800 0.797 1.600
0.800 0.797 1.574
0.800 0.797 1.574
0.800 0.796 1.602
0.800 0.796 1.575
0.800 0.796 1.575
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.577
0.800 0.796 1.577
0.800 0.796 1.577
0.800 0.797 1.550
0.800 0.797 1.576
0.800 0.797 1.576
0.800 0.797 1.577
0.800 0.798 1.549
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.801 1.521
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.798 1.629
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.576
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.801 1.522
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.801 1.575
0.800 0.798 1.630
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.577
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.801 1.523
0.800 0.798 1.632
0.800 0.798 1.578
0.800 0.801 1.523
0.800 0.801 1.577
0.800 0.798 1.632
0.800 0.798 1.578
0.800 0.798 1.578
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.801 1.524
0.800 0.798 1.632
0.800 0.798 1.579
0.800 0.801 1.524
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.798 1.632
0.800 0.801 1.524
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.798 1.632
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.798 1.579
0.800 0.801 1.524
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.801 1.577
0.800 0.802 1.549
0.800 0.802 1.576
0.800 0.802 1.576
0.800 0.802 1.576
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.575
0.800 0.802 1.574
0.800 0.802 1.574
0.800 0.802 1.574
0.800 0.802 1.574
0.800 0.803 1.547
0.800 0.803 1.573
0.800 0.803 1.573
0.800 0.802 1.600
0.800 0.803 1.546
0.800 0.802 1.600
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.803 1.544
0.800 0.803 1.571
0.800 0.803 1.571
0.800 0.803 1.570
0.800 0.803 1.570
0.800 0.803 1.570
0.800 0.803 1.570
0.800 0.802 1.597
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.570
0.800 0.801 1.598
0.800 0.801 1.571
0.800 0.801 1.571
0.800 0.798 1.626
0.800 0.798 1.573
0.800 0.798 1.573
0.800 0.797 1.601
0.800 0.797 1.574
0.800 0.797 1.574
0.800 0.797 1.574
0.800 0.797 1.574
0.800 0.797 1.575
0.800 0.797 1.575
0.800 0.798 1.547
0.800 0.798 1.574
0.800 0.798 1.574
0.800 0.801 1.519
0.800 0.801 1.572
0.800 0.801 1.572
0.800 0.802 1.545
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.802 1.571
0.800 0.801 1.598
0.800 0.801 1.571
0.800 0.798 1.626
0.800 0.798 1.573
0.800 0.797 1.601
0.800 0.797 1.574
0.800 0.796 1.602
0.800 0.796 1.575
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.576
0.800 0.796 1.577
0.800 0.796 1.577
0.800 0.797 1.549
0.800 0.797 1.576
0.800 0.797 1.576
0.800 0.797 1.576
0.800 0.798 1.549
0.800 0.798 1.576
0.800 0.801 1.521
0.800 0.801 1.574
0.800 0.801 1.574
0.800 0.802 1.547
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.802 1.573
0.800 0.803 1.545
0.800 0.803 1.572
0.800 0.803 1.571
0.800 0.803 1.571
0.800 0.802 1.599
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.802 1.572
0.800 0.801 1.599
0.800 0.798 1.627
0.800 0.798 1.574
0.800 0.797 1.602
0.800 0.797 1.575
0.800 0.797 1.575
0.800 0.796 1.603
1.000 0.796 1.586
1.000 0.794 1.651
1.000 0.794 1.607
1.000 0.794 1.617
1.000 0.794 1.627
1.000 0.794 1.637
1.000 0.794 1.646
1.000 0.796 1.601
1.000 0.796 1.664
1.000 0.796 1.674
