r, y, u
0.800, 0.000, 0.282
0.800, 0.000, 0.312
0.800, 0.000, 0.342
0.800, 0.000, 0.372
0.800, 0.000, 0.402
0.800, 0.000, 0.432
0.800, 0.000, 0.462
0.800, 0.000, 0.492
0.800, 0.000, 0.522
0.800, 0.000, 0.553
0.800, 0.000, 0.583
0.800, 0.000, 0.613
0.800, 0.000, 0.643
0.800, 0.000, 0.673
0.800, 0.000, 0.703
0.800, 0.000, 0.733
0.800, 0.000, 0.763
0.800, 0.000, 0.793
0.800, 0.000, 0.823
0.800, 0.000, 0.853
0.800, 0.000, 0.883
0.800, 0.001, 0.914
0.800, 0.001, 0.928
0.800, 0.001, 0.973
0.800, 0.002, 1.003
0.800, 0.002, 1.017
0.800, 0.005, 1.063
0.800, 0.006, 1.061
0.800, 0.007, 1.106
0.800, 0.010, 1.135
0.800, 0.014, 1.133
0.800, 0.016, 1.161
0.800, 0.021, 1.205
0.800, 0.025, 1.202
0.800, 0.032, 1.230
0.800, 0.039, 1.226
0.800, 0.047, 1.252
0.800, 0.056, 1.262
0.800, 0.066, 1.271
0.800, 0.078, 1.296
0.800, 0.090, 1.272
0.800, 0.104, 1.310
0.800, 0.120, 1.301
0.800, 0.135, 1.290
0.800, 0.152, 1.325
0.800, 0.171, 1.312
0.800, 0.191, 1.298
0.800, 0.212, 1.314
0.800, 0.235, 1.314
0.800, 0.259, 1.296
0.800, 0.283, 1.293
0.800, 0.309, 1.304
0.800, 0.336, 1.282
0.800, 0.364, 1.290
0.800, 0.391, 1.281
0.800, 0.416, 1.287
0.800, 0.444, 1.323
0.800, 0.472, 1.296
0.800, 0.498, 1.299
0.800, 0.525, 1.316
0.800, 0.550, 1.317
0.800, 0.576, 1.333
0.800, 0.599, 1.317
0.800, 0.622, 1.362
0.800, 0.645, 1.361
0.800, 0.665, 1.359
0.800, 0.686, 1.403
0.800, 0.702, 1.385
0.800, 0.718, 1.444
0.800, 0.733, 1.442
0.800, 0.746, 1.454
0.800, 0.756, 1.483
0.800, 0.764, 1.511
0.800, 0.771, 1.541
0.800, 0.778, 1.555
0.800, 0.780, 1.553
0.800, 0.783, 1.615
0.800, 0.785, 1.599
0.800, 0.785, 1.630
0.800, 0.785, 1.646
0.800, 0.783, 1.646
0.800, 0.782, 1.663
0.800, 0.779, 1.664
0.800, 0.778, 1.696
0.800, 0.774, 1.667
0.800, 0.773, 1.700
0.800, 0.770, 1.670
0.800, 0.769, 1.704
0.800, 0.765, 1.674
0.800, 0.765, 1.708
0.800, 0.764, 1.663
0.800, 0.764, 1.680
0.800, 0.764, 1.666
0.800, 0.765, 1.667
0.800, 0.766, 1.653
0.800, 0.769, 1.654
0.800, 0.770, 1.639
0.800, 0.773, 1.655
0.800, 0.778, 1.624
0.800, 0.780, 1.608
0.800, 0.783, 1.638
0.800, 0.789, 1.622
0.800, 0.793, 1.590
0.800, 0.798, 1.620
0.800, 0.803, 1.587
0.800, 0.810, 1.601
0.800, 0.815, 1.567
0.800, 0.819, 1.596
0.800, 0.824, 1.593
0.800, 0.828, 1.591
0.800, 0.833, 1.588
0.800, 0.835, 1.585
0.800, 0.839, 1.614
0.800, 0.843, 1.596
0.800, 0.844, 1.577
0.800, 0.848, 1.621
0.800, 0.849, 1.588
0.800, 0.851, 1.616
0.800, 0.853, 1.598
0.800, 0.854, 1.611
0.800, 0.854, 1.609
0.800, 0.856, 1.622
0.800, 0.856, 1.588
0.800, 0.854, 1.617
0.800, 0.854, 1.647
0.800, 0.853, 1.614
0.800, 0.853, 1.628
0.800, 0.851, 1.610
0.800, 0.849, 1.624
