y, u
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00000, 0.77618
0.00115, 0.77618
0.00115, 0.77618
0.00115, 0.77618
0.00230, 0.77618
0.00460, 0.77618
0.00575, 0.77618
0.00575, 0.77618
0.00690, 0.77618
0.01035, 0.77618
0.01150, 0.77618
0.01381, 0.77618
0.01611, 0.77618
0.01956, 0.77618
0.02071, 0.77618
0.02531, 0.77618
0.02876, 0.77618
0.03221, 0.77618
0.03682, 0.77618
0.04142, 0.77618
0.04602, 0.77618
0.04832, 0.77618
0.05292, 0.77618
0.05752, 0.77618
0.06443, 0.77618
0.06673, 0.77618
0.07363, 0.77618
0.07823, 0.77618
0.08283, 0.77618
0.08744, 0.77618
0.09204, 0.77618
0.09664, 0.77618
0.09894, 0.77618
0.10354, 0.77618
0.10700, 0.77618
0.11045, 0.77618
0.11275, 0.77618
0.11620, 0.77618
0.11965, 0.77618
0.12080, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12425, 0.77618
0.12195, 0.77618
0.12195, 0.77618
0.12080, 0.77618
0.11965, 0.77618
0.11620, 0.77618
0.11505, 0.77618
0.11160, 0.77618
0.11045, 0.77618
0.10700, 0.77618
0.10354, 0.77618
0.10124, 0.77618
0.09664, 0.77618
0.09434, 0.77618
0.09204, 0.77618
0.08859, 0.77618
0.08514, 0.77618
0.08283, 0.77618
0.07938, 0.77618
0.07823, 0.77618
0.07478, 0.77618
0.07363, 0.77618
0.07133, 0.77618
0.07018, 0.77618
0.06903, 0.77618
0.06673, 0.77618
0.06673, 0.77618
0.06673, 0.77618
0.06673, 0.77618
0.06673, 0.77618
0.06673, 0.77618
0.06673, 0.77618
0.06903, 0.77618
0.07018, 0.77618
0.07133, 0.77618
0.07363, 0.77618
0.07478, 0.77618
0.07593, 0.77618
0.07938, 0.77618
0.08283, 0.77618
0.08399, 0.77618
0.08744, 0.77618
0.08974, 0.77618
0.09319, 0.77618
0.09664, 0.77618
