DAC;Vpot;V
170;11.52;0.02
171;11.51;0.03
172;11.51;0.03
173;11.5;0.04
174;11.49;0.05
175;11.48;0.06
176;11.47;0.07
177;11.45;0.09
178;11.44;0.1
179;11.42;0.12
180;11.4;0.14
181;11.37;0.17
182;11.34;0.2
183;11.3;0.24
184;11.25;0.29
185;11.2;0.34
186;11.13;0.41
187;11.06;0.48
188;10.97;0.57
189;10.87;0.67
190;10.76;0.78
191;10.59;0.95
192;10.41;1.13
193;10.2;1.34
194;9.98;1.56
195;9.65;1.89
196;9.26;2.28
197;8.88;2.66
198;8.37;3.17
199;7.78;3.76
200;7.09;4.45
201;6.46;5.08
202;5.68;5.86
203;4.96;6.58
204;4.26;7.28
205;3.53;8.01
206;2.81;8.73
207;2.07;9.47
208;1.56;9.98
209;0.88;10.66
210;0.303;11.237
211;0.126;11.414
212;0.62;10.92
213;0.27;11.27
214;0.0035;11.5365
215;0;11.54
